Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Australia,AUS,1.282942713,2.309849722,2.756047265,4.172108432,1.435659081,-0.89683395,-0.583274398,1.942906098,3.982832103,-5.212873431,0.459057828,-0.367538402,1.13862817,-3.296959487,-0.898224548,-1.541214138,-2.202952147,-0.572108489,2.24094687,-0.998909697,-2.225281399,1.422040384,2.750308266
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Austria,AUT,6.464756451,2.730051803,-1.349647149,0.666446052,3.028761113,4.467769393,7.927459415,7.784982011,1.087494973,-14.72631214,8.118825579,7.230258577,2.038555598,0.260251554,2.237252647,0.853837336,4.356506051,3.224967208,4.460462456,0.837581042,-7.260899801,12.67019626,4.124334513
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Azerbaijan,AZE,-42.13279311,4.09999612,8.195121951,14.01262399,10.4871876,16.30637079,9,10.19220432,7.102937005,-12.6118541,6.77578541,6.799539807,4.66975361,2.093201926,3.714125466,7.743532501,-1.199997105,-1.10000411,6.400001909,10.39999821,10.40000106,19.51027022,3.100900528
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,"Bahamas, The",BHS,7.930672269,-13.16301703,-6.780610815,28.64442441,9.64953271,-5.625399531,10.74734703,-12.59938838,-7.30114299,-5.988928032,9.073875803,0.26993865,13.36270191,-12.2193437,6.271519921,-12.42767878,4.4397463,-18.54757085,-19.78875427,8.365608056,-45.13938528,-8.729641694,-55.17487509
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bahrain,BHR,..,..,..,..,..,..,..,5.373637802,6.803065236,4.762348483,3.782409535,3.112479199,4.666320346,3.647625602,4.865154766,3.200116899,5.21120944,1.074394532,1.876076982,1.584643214,-4.953900091,0.718028091,4.919804855
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bangladesh,BGD,4.699566958,6.532232871,5.138653128,6.670853809,6.98222536,7.856794835,10.81066262,10.5351157,7.331292477,6.693401416,6.646765727,10.01338542,9.955216249,10.3068902,8.766757023,10.31057687,11.6908152,7.086439687,10.45244155,12.33450681,1.68080104,11.58513879,11.41082771
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Barbados,BRB,-2.453102534,-9.763312257,0.983612164,-1.623385787,2.145226831,2.100157744,8.374385742,-4.033281625,-0.293901543,-16.00589536,-7.352167047,-0.606060606,-4.039634146,-2.680698967,-4.325647827,4.777137983,-1.241603908,0.5358615,-2.234522345,-0.167750052,-4.053770216,-2.605078809,10.87884918
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Belarus,BLR,6.380128138,7.237576212,6.159713437,10.35633837,19.65013809,14.39999479,13.59999966,8.300003017,14.70000449,-2.199998036,10.8007367,9.786695703,6.947744512,-5.230013851,0.653064223,-6.457068184,-0.053414414,6.964028777,-0.061493524,1.257547206,0.155715913,5.794243677,-6.050396072
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Belgium,BEL,5.659733376,0.709395051,0.418446006,-0.199791649,5.09034771,2.647220409,-2.321035536,6.343184318,-3.341317298,-8.71409285,6.095747089,0.129224731,-1.572794264,1.035809172,3.116826417,2.728376239,-1.64425362,1.534688103,0.00113589,4.099192391,-4.598102492,3.303500796,4.61189279
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Belize,BLZ,23.57872789,-2.018055507,0.531460679,-1.329149879,15.08287935,2.397818512,-5.711850528,-4.751008417,0.568896812,-0.932394652,-2.367908123,1.075862276,12.31325214,-4.57431593,0.416378472,2.528310804,0.497141744,-1.075483133,2.035701788,0.818845467,-8.472714689,13.70290555,6.036290262
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Benin,BEN,10.60024841,9.210284854,2.606352815,1.08171349,0.061871118,6.623200529,3.0743968,-4.11991387,-12.47155216,0.787097511,-0.379134124,0.368267615,0.340149385,4.40115187,8.625262329,6.246369001,6.43171428,-0.562909429,3.792933348,11.25680305,3.367216548,5.037963085,7.276488626
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,-8.586321807,-16.72380061,-32.85943775,-0.278143319,-3.44300153,2.391675726,6.406795086,-2.471705106,-0.035077463,-19.28767764,-6.27128469,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bhutan,BTN,2.699507233,12.46513199,1.900488909,6.039304169,4.459946629,7.754226599,11.48491497,25.03729385,8.507653455,6.880279614,20.18328957,7.298484567,6.792940835,-5.253549696,9.159066581,4.414211523,2.423097295,6.457491816,2.700358096,-2.503876976,-24.31664114,4.187843615,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bolivia,BOL,1.790092162,2.687296151,0.250626514,3.806323134,5.580593874,3.004251426,8.092499468,6.090581321,3.660142698,4.810632443,2.589322327,3.675015389,4.74534154,6.085251827,4.032149059,4.576595284,6.184832194,3.286965283,5.516183189,3.193773866,-7.990615338,3.909385268,2.301017274
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bosnia and Herzegovina,BIH,..,6.47461077,8.351925765,3.025524459,4.63994216,9.396721758,14.32088384,10.63807711,6.409818716,-5.462226314,7.211574731,-0.040055671,-0.803450679,5.009177958,4.295084574,2.560616942,5.593828109,8.2655732,1.80367398,-0.01642978,-4.358427911,14.20034251,5.161399855
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Botswana,BWA,-1.076456414,1.07015425,1.354722909,-9.952042785,-0.188691106,1.844592217,20.00947997,25.69642535,-2.565525247,5.009704577,3.909227242,11.35095184,3.706045126,6.533785233,8.335691883,-15.52162406,4.956431446,-2.161124972,-1.164717799,4.520870948,-14.90419311,8.0743737,8.201496026
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Brazil,BRA,5.689583695,0.713388292,2.093004911,2.659369476,9.082820653,2.242707902,1.233599767,6.14130942,4.149549259,-9.263956232,9.190034933,2.247184193,-2.378690107,3.013301017,-4.687032996,-8.48427121,-4.767022872,2.309541908,1.392795547,-0.425804289,-4.666514744,4.477309609,-0.336409478
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Brunei Darussalam,BRN,3.112946005,0.137421288,6.847272939,2.982620497,-1.126880734,-1.958924824,0.80878442,-3.061820563,2.802893801,-9.785988603,1.554825114,6.492745631,-1.977999008,-1.50073019,-6.780333077,2.399714297,-0.713532,9.041543998,-0.58825117,5.880457984,23.89347398,-6.717672311,-2.929817685
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Burkina Faso,BFA,-6.708149158,6.725411739,6.10668534,10.74476765,2.450850449,4.718821254,8.349828101,8.075212478,-2.894351565,3.682922029,2.183067946,7.537663971,-0.352054911,3.459569613,13.07761367,6.852419177,2.293808556,-4.245125182,7.194280571,5.248432919,5.281655219,2.835623441,0.817274089
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Burundi,BDI,-6.230151801,-6.230151792,-6.230151832,-6.230151783,-6.230151799,-2.176920212,6.4,3,-6.999999975,0.800000004,-1.330666666,-1.00000006,-2.399999968,9.999999993,7.999999987,-6.620046857,1.208465686,..,..,..,..,..,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Cabo Verde,CPV,6.567738634,-19.64077371,11.79889059,-3.372038277,-0.205915742,6.17089462,-2.347852524,0.567767553,11.8530973,-0.766247198,9.690673106,4.255728347,-2.341061923,4.399889592,1.937767427,-2.909766141,7.564176418,1.611435491,6.638634052,2.703983765,-19.66674536,10.05617714,3.687902872
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Cambodia,KHM,30.28660129,15.20023137,14.40831658,12.30394956,17.6599625,9.723402917,17.43490588,8.884562608,3.118004632,-15.51045182,29.55968523,16.16697346,6.858607541,9.822108947,6.646298657,9.224423419,7.046614447,6.445582692,9.091588039,6.732137781,-2.744210157,13.08752649,12.17751138
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Cameroon,CMR,5.989204751,12.26162105,14.75978852,7.578795251,6.261834797,1.286551129,7.432956082,6.04860293,-2.505230301,5.298011012,1.620513705,10.84938237,6.935857682,4.008166255,2.415790467,4.261787094,4.64045681,3.066938992,3.550586093,1.173434668,0.376476591,6.378724343,3.126521901
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Canada,CAN,9.061415074,-3.645527413,1.835683547,-1.283152959,2.429971137,2.008049533,-1.613288034,-3.013566991,-5.343312999,-13.78953025,4.828850938,3.469431006,1.457386602,-0.327708008,2.972217904,0.566748621,-0.008995492,1.944835117,3.059640913,-0.018636948,-9.595755924,4.649840549,3.976228878
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Cayman Islands,CYM,..,..,..,..,..,..,..,5.210503144,10.47669607,-8.115915811,-8.989362029,-0.720319361,3.953559634,2.520617578,2.080711013,2.04862752,8.075393235,2.48489681,7.534208646,5.002355958,-6.830470445,12.01210686,..
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,4.930151818,16.91291822,10.99149762,-43.84008792,-12.52091549,14.21684321,4.193475727,1.028263138,-0.913598854,12.06406751,-0.008504042,29.45983045,-1.500034426
